country,iso2c,iso3c,year,status,lastupdated,NY.GDP.PCAP.KD,EN.ATM.CO2E.PC,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,1993,,2022-09-16,NA,0.084721110433272,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2022-09-16,NA,0.0568266177530693,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,,2022-09-16,NA,0.0755458273872716,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2022-09-16,NA,0.0684679555059887,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2022-09-16,NA,0.0337853598501818,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2022-09-16,NA,0.052690856160549,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2022-09-16,NA,0.0401569651487615,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2022-09-16,392.71046559534,0.0653123461857888,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2022-09-16,398.971116543866,0.128416559329282,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2022-09-16,NA,0.0625880343135185,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1969,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1970,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1968,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2022-09-16,319.847107262897,0.0455736591759986,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1965,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1966,,2022-09-16,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
