country,iso2c,iso3c,year,status,lastupdated,education,primary,secondary,tertiary,under5,hiv_uninfected,edu_gender,labor_gender,unemploy_f,aid_dependancy,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2014,,2023-12-18,3.69521999359131,109.115516662598,54.235481262207,8.31087017059326,73.4,0.05,0.654020011425018,23.7490645063876,10.306,4942970214.84375,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,,2023-12-18,1.16035997867584,34.3313407897949,9.95170974731445,0.97723001241684,296.4,NA,0.161200001835823,NA,NA,44439998.626709,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2023-12-18,4.68476057052612,103.932243347168,29.6913509368896,NA,104.3,0.04,0.573230028152466,20.19667459641,10.581,2895830078.125,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2023-12-18,3.45445990562439,107.695976257324,54.7542190551758,NA,76.8,0.05,0.655330002307892,22.2178958025076,10.392,5152540039.0625,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2023-12-18,NA,49.6983299255371,23.9882106781006,NA,150.6,0.02,0.474040001630783,20.0177248844717,10.839,212529998.779297,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2023-12-18,NA,100.229690551758,20.3119602203369,NA,108.6,0.04,0.547689974308014,20.4528100183262,10.642,2815100097.65625,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2023-12-18,NA,NA,NA,NA,141.6,0.02,NA,19.6192838790518,10.652,230750000,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2023-12-18,NA,34.2968788146973,NA,NA,137.3,0.02,NA,19.4712207463631,10.647,164199996.948242,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2023-12-18,NA,27.298849105835,NA,NA,133.3,0.03,NA,19.3713173001543,10.634,142860000.610352,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2023-12-18,NA,NA,NA,NA,146,0.02,NA,19.8169226289201,10.735,169630004.882813,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1972,,2023-12-18,1.11717998981476,34.7526817321777,11.0403900146484,1.01449000835419,290.7,NA,0.160840004682541,NA,NA,55180000.3051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2023-12-18,3.2558000087738,106.182418823242,53.2851409912109,NA,70.2,0.06,0.6423299908638,25.3757325289357,11.538,4274229980.46875,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,,2023-12-18,4.54397010803223,106.150283813477,53.5063400268555,NA,67.2,0.06,0.645669996738434,27.1029295008949,12.783,4069419921.875,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2023-12-18,NA,22.1629905700684,NA,NA,129.3,0.03,NA,19.2961609930602,10.617,136009994.506836,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2023-12-18,NA,106.252662658691,19.2631397247314,1.38966000080109,112.8,0.04,0.40582001209259,20.2247762408462,10.583,2268530029.29688,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1961,,2023-12-18,NA,NA,NA,NA,351.7,NA,NA,NA,NA,34669998.1689453,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1962,,2023-12-18,NA,NA,NA,NA,345.8,NA,NA,NA,NA,16930000.3051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1963,,2023-12-18,NA,NA,NA,NA,340.2,NA,NA,NA,NA,36669998.1689453,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2023-12-18,4.17489528656006,101.086456298828,29.0891704559326,NA,100,0.04,0.567200005054474,19.9412818850803,10.647,4982609863.28125,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2023-12-18,4.38367223739624,103.413963317871,39.090030670166,NA,95.9,0.04,0.586019992828369,19.7378281910907,10.553,4811209960.9375,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2023-12-18,4.81063985824585,99.3697204589844,44.3971710205078,4.02480983734131,91.8,0.05,0.609610021114349,19.6429025289109,10.622,6113120117.1875,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2023-12-18,3.4794499874115,102.903442382812,50.413688659668,NA,87.8,0.05,0.625810027122498,19.6841073678584,10.603,6235319824.21875,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2023-12-18,3.4620099067688,100.290298461914,52.198429107666,3.75560998916626,84,0.05,0.663450002670288,20.1694417112846,10.449,6745740234.375,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2023-12-18,2.60419988632202,106.283401489258,54.2063903808594,NA,80.3,0.05,0.669250011444092,20.7789873677724,10.513,6666770019.53125,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1970,,2023-12-18,NA,33.4200096130371,8.88566017150879,0.806509971618652,301.9,NA,0.167199999094009,NA,NA,27610000.6103516,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1973,,2023-12-18,1.42788004875183,35.2143707275391,11.5786199569702,1.17183995246887,285.2,NA,0.168740004301071,NA,NA,55720001.2207031,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1974,,2023-12-18,NA,35.7608299255371,11.7392597198486,1.09765005111694,279.6,NA,0.16695000231266,NA,NA,48909999.8474121,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,,2023-12-18,NA,37.8462295532227,14.6678104400635,NA,191.4,NA,0.499659985303879,NA,NA,73500000,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1991,,2023-12-18,NA,36.1169204711914,19.6126003265381,NA,172.2,0.01,0.537060022354126,19.7204714999182,10.697,508540008.544922,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1992,,2023-12-18,NA,NA,NA,NA,166.3,0.02,NA,19.8093967166885,10.746,204800003.051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1993,,2023-12-18,NA,36.4765815734863,18.6544399261475,NA,160.8,0.02,0.361770004034042,19.8509946297557,10.691,223800003.051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,,2023-12-18,NA,47.7860984802246,24.9947395324707,NA,155.5,0.02,0.432000011205673,19.8936613581541,10.675,226419998.168945,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1964,,2023-12-18,NA,NA,NA,NA,334.8,NA,NA,NA,NA,46169998.1689453,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1965,,2023-12-18,NA,NA,NA,NA,329.4,NA,NA,NA,NA,53930000.3051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1966,,2023-12-18,NA,NA,NA,NA,323.9,NA,NA,NA,NA,50840000.1525879,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1967,,2023-12-18,NA,NA,NA,NA,318.4,NA,NA,NA,NA,41080001.8310547,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1968,,2023-12-18,NA,NA,NA,NA,312.8,NA,NA,NA,NA,29239999.7711182,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1969,,2023-12-18,NA,NA,NA,NA,307.2,NA,NA,NA,NA,27250000,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2023-12-18,NA,22.9085903167725,14.4715099334717,NA,125.3,0.03,0,19.4792207299011,10.594,410359985.351563,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2023-12-18,NA,75.9597473144531,NA,NA,121.2,0.04,NA,19.7228455872098,10.751,1223290039.0625,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2023-12-18,NA,96.5536804199219,14.078049659729,1.38107001781464,117,0.04,0.544260025024414,19.981207303756,10.669,1538229980.46875,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1960,,2023-12-18,NA,NA,NA,NA,357.3,NA,NA,NA,NA,17180000.3051758,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1976,,2023-12-18,NA,37.6015090942383,13.1584596633911,1.34808003902435,268.3,NA,0.180629998445511,NA,NA,70199996.9482422,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,,2023-12-18,NA,38.3804092407227,13.9991502761841,1.4954400062561,262.4,NA,0.192279994487762,NA,NA,82720001.2207031,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,,2023-12-18,NA,39.6710205078125,14.5838003158569,1.90880000591278,256.4,NA,0.198829993605614,NA,NA,74500000,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,,2023-12-18,1.7398099899292,NA,NA,2.0331699848175,250.3,NA,NA,NA,NA,99209999.0844727,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,,2023-12-18,1.84092998504639,46.066291809082,17.6115207672119,NA,243.8,NA,NA,NA,NA,28600000.3814697,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,,2023-12-18,1.90917003154755,52.377140045166,21.2858104705811,NA,237.3,NA,0.242229998111725,NA,NA,22950000.7629395,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,,2023-12-18,1.72997999191284,21.8145503997803,13.3190698623657,2.19055008888245,230.8,NA,0.483579993247986,NA,NA,9739999.77111816,South Asia,Kabul,69.1761,34.5228,Low income,IDA
